2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Player Name,Period Name,Activity Name,Period Name2,Total Duration,Total Distance,HSR,Acceleration B1-3 Total Efforts (Gen 2),Maximum Velocity,Tackles Total (Band1-Band3)
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Thiago Bassagaisteguy,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,3646.53,356.0,28,7.02,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Joaquin Briozzo,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,2944.31,28.81,12,5.9,21
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Carlos Augusto Cabano,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,2866.44,74.21,16,7.49,29
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Eliseo Chiavassa,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,2923.46,162.07,20,6.07,30
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Matias Cordero,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,3762.29,220.55,23,7.48,25
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Juan Pedro Cordero,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:27:44,1783.09,115.35,9,6.55,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Mateo Fernandez A.,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,3608.2,375.64,19,8.49,3
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Tomas Fernandez A.,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,4206.54,247.75,34,7.19,13
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Bautista Gatti,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,2710.58,92.39,18,7.24,21
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ignacio Guichón,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,2964.65,165.2,16,6.96,9
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ivan Korenblit,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:08:30,466.4,0.0,7,4.35,0
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Juan Ignacio Lago,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:23:26,1289.86,21.09,8,5.92,16
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Alfonso Lopez F.,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:27:36,1859.97,77.66,10,6.84,4
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Gaston Martinez S.,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:13:06,991.85,190.14,13,9.27,9
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Hipólito San Sebastián,PRIMER TIEMPO,PARTIDO VS BACRC 1°RONDA,PRIMER TIEMPO,00:49:50,3032.93,197.8,30,6.5,23
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Marcos Albina,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2764.34,157.01,33,7.32,8
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Adriel Armenti,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:21:13,1226.42,25.69,7,6.07,15
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Felipe Bares,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:32:58,1675.07,3.9,17,5.12,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Thiago Bassagaisteguy,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3241.02,371.66,27,7.82,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ramiro Berardi,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:26:19,1632.85,8.62,8,5.23,22
